id,lang,source,translation
0,kjh,"<?> кӧрзем, ам хыйға кізілер чахсы чуртапча.","когда посмотрю, сейчас умные люди хорошо живут."
1,xas,"dĭgəttə un abibaʔ, tʼerməndə mĭmbibeʔ. ","потом мы муку делали, на мельницу ходили."
2,xas,dĭgəttə mĭlleʔbəʔjə gijen iʔgö ige sĭre. ,"потом они идут туда, где много снего."
3,evn,горовэ-э нулгӣчэвун.,долго аргишили.
4,kjh,піреезі алыстырыбызар аны ещё.,кто-нибудь изменит её ещё.
5,kjh,вот андада изестіг килекче ол кізілер.,вот тогда наверняка (чтобы было) хотят прийти эти люди.
6,xas,"dĭ măndə:"" măn ej tĭmnem"". ","тот говорит: ""я не знаю""."
7,xas,bar ĭmbi nuldəlaʔbəʔjə. ,ставят все [на стол].
8,evn,ичэтно̄дем».,приду посмотреть».
9,kjh,"[zgb1935f] абаканда, я?","[zgb1935f] в абакане, да?"
10,bak,unda räxmät awələ boɣaðaq küle bujənda urənlašqan bulɣan.,там деревня рахметово была расположена около озера бугодак.
11,bak,äbej jejänsären saqərɣan.,бабушка позвала внучку.
12,kjh,анаң ол паланы карагайда пір ипчі кӧртір.,потом этого ребенка в карагае одна женщина смотрела.
13,xas,"i kubi, (d-) dĭzeŋ tože maʔkən amnobiʔi. ","и увидел людей, который тоже жили в чуме."
14,mhr,"кок руш <нрзб> ӱдыр-шамыч улыт ыле,","две русские девушки были,"
15,mhr,"вара малыже,","пусть поспит,"
16,evn,****,****
17,mhr,эре колышо имнетлан да мо да пеш шортынам да.,плакала из-за павшей лошади и прочего.
18,bak,"beloret qalahəna kilgäs, iŋ berense mineŋ... miŋä qəjən bulɣan jere urəθ telen belmäw ine.","когда приехала в белорецк, самый первый мой... трудное для меня место было незнание русского языка."
19,mhr,[2] мый кузнечыш коштынам.,[15] она не отсюда потому что.
20,xas,i dʼüzʼiʔ kămnəbiʔi. ,и землёй засыпали.
21,xas,"dĭgəttə kujagən koləj, da oʔbdəsʼtə nada. ","потом она на солнце высохнет, и надо будет ее собрать."
22,bak,jendär =ðä belmäj.,даже духи не знают.
23,xas,"dĭgəttə … nʼin kujnektə kuvas, toʔbdə. ","потом… у парня рубаха красивая, новая."
24,mhr,изирак эргымын кок... ик эргыже уло.,а у младшего — один сын.
25,bak,"как они уехали, у меня все в глазах стоит.","как они уехали, у меня все в глазах стоит."
26,kjh,"[vtt1937f] ниме, вот ол тоже мастер, вот она… ол тіпче мағат ӱгрентір.","[vtt1937f] это, вот она тоже мастер, вот она, говорят, хорошо училась."
27,evn,амариӈдула̄вэр мучӯска̄т!,давайте повернем назад!
28,xas,"dĭgəttə nüdʼin kubi tura, turanə (šo-) šobi. ","потом вечером она нашла дом, вошла в дом."
29,evn,гошаядӯ бидичо̄тын.,у гоши они находились.
30,bak,"[ksg] svadbaɣa nej... äj svadbaɣa bəna nej bula: jəjəlalar =ða, tuɣandar jəjəlabəð ir jaɣənan, qəð jaɣənan tuɣandar jəjəlabəð =ða...","[ksg] ну, к свадьбе это... ой, к свадьбе вот так происходит: собираются, родные собираемся со стороны мужчины, со стороны девушки, родные собираемся..."
31,kjh,вот аннаңар аны кізі іди чайап салтыр.,вот за это ее человек так обласкал.
32,xas,dĭgəttə dĭzeŋ ara bĭʔpiʔi bar. ,потом они выпили водки.
33,evn,"и э потом омоден долболто=, долбо уже, долбочоло̄н.","и потом он придет, уже когда настанет ночь."
34,mhr,ту... пырляк ик кечак каенут,они все вместе в один день ушли
35,evn,бокончучэлдэн.,пошел догонять.
36,xas,dĭ kolaːmbi. ,он высох.
37,mhr,[15] <колыштынут да колышт тӱҥалшаш улыт>.,[15] слушали и должны начать слушать.
38,kjh,"туңмам полған, анымаң хада парғабыс.","сестрёнка была, с ней вместе ездили."
39,bak,"elek institutqa uqərɣa kilew qəjən bula torɣajnə šul, beððe ataj ""institutqa kererhegeð"" tip tərəštərɣajnə.","раньше ведь было трудно поступить учиться в институт, отец нас заставлял постараться, говоря ""поступите в институт""."
40,xas,"kubabə kubi da ibi, šünə (emn-) embi. ","шкуру нашел, взял и положил и положил в огонь."
41,kjh,"а чииттер най ла, ниме, иртінчелер.","а молодежь очень, это, наглеет."
42,bak,[grg] beð bötä klass menän bəjəlɣə jəlda öltök qaraɣastarən qararɣa barðəq.,[grg] в этом году мы всем классом ездили смотреть многоствольные шарообразные лиственницы.
43,kjh,[lat1978f] ну а ол… ам верхаскизтің орында-та хайдағ-да аал полған на полар.,"[lat1978f] ну, а вместо верх-аскиза была же какая-то другая деревня, наверно, раньше."
44,xas,"""măna inezi ej amnosʼtə, i tüžöjdə ej amnosʼtə, (nada tănan dăk=) (tăn) tănan kereʔ, dak tăn kanaʔ"". ","""мне с лошадью не жить и [с] коровой не жить, тебе надо, так ты и иди!"""
45,evn,"бэе девсамдалон, гирамдамӣла девувкӣ одяӈа̄с.","будешь есть за человеком его объедки, кости."
46,xas,bostə bar todam. ,сама стройная.
47,kjh,а городта нойма тоғынчалар? мин парғам.,а в городе что работают? я ездила.
48,xas,xatʼel kabarzittə onʼiʔ üdʼüge šoška. ,хотел схватить одного поросенка.
49,mhr,вара адак,потом снова
50,mhr,"[15] тыланет тыге чучын,","[15] тебе так казалось,"
51,xas,(dĭm-) dĭzeŋ dĭm oʔbdəbiʔi. ,они ее собрали.
52,xas,šen bile nörbəlat. ,он говорит (очень?) плохо.
53,xas,dʼok. ,нет.
54,evn,дыгин класпэ манаса̄в тадӯ.,четыре класса закончил там.
55,kjh,[mdc1963f] килбеендiр. тайғазар ниме теерерге парған ол?,[mdc1963f] не пришел. что собирать в тайгу ушел?
56,kjh,[zgb1935f] сағызыма кірбинче.,[zgb1935f] не вспоминается.
57,mhr,тушто йолташ-шамыч шӱрат.,там же друзья мои боронят.
