lang,source,translation
kjh,"<?> кӧрзем, ам хыйға кізілер чахсы чуртапча.","когда посмотрю, сейчас умные люди хорошо живут."
xas,"dĭgəttə un abibaʔ, tʼerməndə mĭmbibeʔ. ","потом мы муку делали, на мельницу ходили."
xas,dĭgəttə mĭlleʔbəʔjə gijen iʔgö ige sĭre. ,"потом они идут туда, где много снего."
evn,горовэ-э нулгӣчэвун.,долго аргишили.
kjh,піреезі алыстырыбызар аны ещё.,кто-нибудь изменит её ещё.
kjh,вот андада изестіг килекче ол кізілер.,вот тогда наверняка (чтобы было) хотят прийти эти люди.
xas,"dĭ măndə:"" măn ej tĭmnem"". ","тот говорит: ""я не знаю""."
xas,bar ĭmbi nuldəlaʔbəʔjə. ,ставят все [на стол].
evn,ичэтно̄дем».,приду посмотреть».
kjh,"[zgb1935f] абаканда, я?","[zgb1935f] в абакане, да?"
bak,unda räxmät awələ boɣaðaq küle bujənda urənlašqan bulɣan.,там деревня рахметово была расположена около озера бугодак.
bak,äbej jejänsären saqərɣan.,бабушка позвала внучку.
kjh,анаң ол паланы карагайда пір ипчі кӧртір.,потом этого ребенка в карагае одна женщина смотрела.
xas,"i kubi, (d-) dĭzeŋ tože maʔkən amnobiʔi. ","и увидел людей, который тоже жили в чуме."
mhr,"кок руш <нрзб> ӱдыр-шамыч улыт ыле,","две русские девушки были,"
mhr,"вара малыже,","пусть поспит,"
evn,****,****
mhr,эре колышо имнетлан да мо да пеш шортынам да.,плакала из-за павшей лошади и прочего.
bak,"beloret qalahəna kilgäs, iŋ berense mineŋ... miŋä qəjən bulɣan jere urəθ telen belmäw ine.","когда приехала в белорецк, самый первый мой... трудное для меня место было незнание русского языка."
mhr,[2] мый кузнечыш коштынам.,[15] она не отсюда потому что.
xas,i dʼüzʼiʔ kămnəbiʔi. ,и землёй засыпали.
xas,"dĭgəttə kujagən koləj, da oʔbdəsʼtə nada. ","потом она на солнце высохнет, и надо будет ее собрать."
bak,jendär =ðä belmäj.,даже духи не знают.
xas,"dĭgəttə … nʼin kujnektə kuvas, toʔbdə. ","потом… у парня рубаха красивая, новая."
mhr,изирак эргымын кок... ик эргыже уло.,а у младшего — один сын.
bak,"как они уехали, у меня все в глазах стоит.","как они уехали, у меня все в глазах стоит."
kjh,"[vtt1937f] ниме, вот ол тоже мастер, вот она… ол тіпче мағат ӱгрентір.","[vtt1937f] это, вот она тоже мастер, вот она, говорят, хорошо училась."
evn,амариӈдула̄вэр мучӯска̄т!,давайте повернем назад!
xas,"dĭgəttə nüdʼin kubi tura, turanə (šo-) šobi. ","потом вечером она нашла дом, вошла в дом."
evn,гошаядӯ бидичо̄тын.,у гоши они находились.
bak,"[ksg] svadbaɣa nej... äj svadbaɣa bəna nej bula: jəjəlalar =ða, tuɣandar jəjəlabəð ir jaɣənan, qəð jaɣənan tuɣandar jəjəlabəð =ða...","[ksg] ну, к свадьбе это... ой, к свадьбе вот так происходит: собираются, родные собираемся со стороны мужчины, со стороны девушки, родные собираемся..."
kjh,вот аннаңар аны кізі іди чайап салтыр.,вот за это ее человек так обласкал.
xas,dĭgəttə dĭzeŋ ara bĭʔpiʔi bar. ,потом они выпили водки.
evn,"и э потом омоден долболто=, долбо уже, долбочоло̄н.","и потом он придет, уже когда настанет ночь."
mhr,ту... пырляк ик кечак каенут,они все вместе в один день ушли
evn,бокончучэлдэн.,пошел догонять.
xas,dĭ kolaːmbi. ,он высох.
mhr,[15] <колыштынут да колышт тӱҥалшаш улыт>.,[15] слушали и должны начать слушать.
